Cell Type	Z-score	Cluster
Megakaryocyte erythroid cell	-0.2685238394414172	5
Cytotoxic NK cell	-0.2685238394414172	5
CD8+ recently activated effector memory or effector T cell (CTL)	-0.2685238394414172	5
Suppressive monocyte	-0.2685238394414172	5
Patrolling monocyte	-0.2685238394414172	5
Exhausted CD4+ T cell	-0.27160709173144365	5
Effector CD4+ T cell	-0.2719786343778106	5
Oligodendrocyte	-0.27214985180545537	5
Epiblast cell	-0.2723683209685364	5
Platelet	-0.27321449559910077	5
Plasmacytoid dendritic cell	-0.27357637260260464	5
Meiotic prophase fetal germ cell	-0.27357637260260464	5
Neural stem cell	-0.27359334033305777	5
Pan monocyte	-0.2737982541872482	5
AXL+ SIGLEC6+ dendritic cell	-0.2737982541872482	5
FOXN4+ cell	-0.2737982541872482	5
Progenitor cell	-0.2737982541872482	5
Myeloid dendritic cell	-0.2737982541872482	5
Glial cell	-0.273878770438868	5
Macroglial cell	-0.2739427591129608	5
LGR5+ stem cell	-0.2743600760151381	5
Activated effector cell	-0.2743849096245699	5
Ionocyte cell	-0.27486442038249403	5
Oligodendrocyte‐like cell	-0.2750056649619529	5
Innate lymphoid cell	-0.27578539133727886	5
Effector memory T cell	-0.27578539133727886	5
Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell	-0.27607060095449776	5
Pelvic epithelial cell	-0.27607060095449776	5
Conventional dendritic cell(cDC)	-0.2760955726268792	5
Osteoblast	-0.27615785220529326	5
Endothelial stem cell	-0.2761905846639603	5
Prehypertrophic chondrocyte	-0.2765799502068121	5
Central memory T cell	-0.2765799502068121	5
Memory T-cell	-0.2765799502068121	5
Effector CD8+ T cell	-0.2765799502068121	5
Effector memory CD4+ T cell	-0.2765799502068121	5
Leydig precursor cell	-0.27661051775600226	5
Cytotoxic CD8+ T cell	-0.2775327984542322	5
CD56bright Natural killer cell	-0.2775327984542322	5
Secretory progenitor cell	-0.2780057242276483	5
CAR-T cell	-0.27801763019945036	5
Multipotent progenitor cell	-0.2792359450622833	5
Homeostatic chondrocyte	-0.2792359450622833	5
Capillary cell	-0.2792359450622833	5
Pit progenitor cell	-0.27932705259672147	5
Morula cell (Blastomere)	-0.27942801040745996	5
Mesenchymal stem cell	-0.27952032465329124	5
Activated B cell	-0.27952032465329124	5
Naive B cell	-0.27952032465329124	5
Follicular B cell	-0.27952032465329124	5
Immune oligodendroglial cell(imOLG)	-0.27952032465329124	5
DCLK1+ progenitor cell	-0.27982515693087945	5
T helper 2(Th2) cell	-0.27982515693087945	5
Beta cell(β cell)	-0.2803583782975162	5
FGFR1HighNME5- epithelial cell	-0.280387633630492	5
Hepatic cell	-0.2807193288368084	5
Natural killer cell	11.968006770713453	6
Cytotoxic T cell	2.897600162679994	6
T cell	2.8128055873717277	6
CD8+ T cell	2.2103651736479746	6
Natural killer T(NKT) cell	1.4290507567829727	6
Microglial cell	1.282151703499439	6
Monocyte	1.2154113879585429	6
Natural killer T (NKT) cell	0.9672464309941853	6
Cytotoxic CD4+ T cell	0.8492866252358144	6
Macrophage	0.7672421901327863	6
Exhausted T(Tex) cell	0.5966031446761302	6
Neutrophil	0.5892572321282212	6
Astrocyte	0.5023871170290618	6
Non-classical monocyte	0.49313259663825293	6
Myeloid cell	0.47544520047112887	6
Red blood cell (erythrocyte)	0.4397666513841394	6
Plasmacytoid dendritic cell(pDC)	0.3992999701911274	6
Intermediate monocyte	0.3872587976311659	6
Effector CD8+ T cell	0.38075304732845017	6
Regulatory T(Treg) cell	0.3669585336313475	6
Immune cell	0.28094895726142455	6
Classical monocyte	0.24681102930301024	6
CD16+ monocyte	0.20673133075750658	6
Cytotoxic CD8+ T cell	0.12261791407011478	6
Erythroid cell	0.11186052895887372	6
Plasmacytoid dendritic cell	0.09427644796916307	6
Gamma delta(γδ) T cell	0.09401929023487426	6
Lymphocyte	0.09225418433577913	6
Effector CD4+ T cell	0.08713538390443205	6
Mucosa-associated invariant T (MAIT) cell	0.08630748200491904	6
Leukocyte	0.0846527301251568	6
Exhausted CD8+ T cell	0.05350211706638279	6
Exhausted CD4+ T cell	0.029432060952968127	6
T helper 17(Th17) cell	0.007788725216253413	6
Activated CD8+ T cell	0.005522889325695926	6
Innate lymphoid cell	-0.00620187150704669	6
Schwann cell	-0.019853433396286427	6
Effector memory CD4+ T cell	-0.03132514797724079	6
M1 macrophage	-0.05204651342381215	6
Eosinophil	-0.06746810409155934	6
CD16 monocyte	-0.07682215151934692	6
CD14+CD16+ monocyte	-0.07682215151934692	6
Mature neutrophil	-0.07682215151934692	6
Immature neutrophil	-0.07682215151934692	6
CD14+ monocyte	-0.07682215151934692	6
T helper17 (Th17) cell	-0.07712268752085213	6
Outer radial glia	-0.07748860912220921	6
Radial glial cell	-0.07748860912220921	6
Effector CD8+ memory T (Tem) cell	-0.11666240293122558	6
Dendritic cell	-0.12952254454323156	6
B cell	-0.13719468879271612	6
Neuron	-0.14250739396496187	6
Memory T cell	-0.1440253763688426	6
Finally highly effector (TEMRA) memory T cell	-0.15046991062742915	6
Effector CD8 T cell	-0.1631101092195638	6
CD4+ recently activated effector memory or effector T cell (CTL)	-0.16834871548096486	6
Paneth cell	-0.1756263635685898	6
T follicular helper(Tfh) cell	-0.17850854595081947	6
Regulatory T (Treg) cell	-0.17850854595081947	6
Regulatory CD4+ T cell	-0.17850854595081947	6
CD4+ cytotoxic T1 cell	-0.17890615274116786	6
Effector memory T cell	-0.18612748975011364	6
Terminal effector CD8+ T cell	-0.1861665765527856	6
Effector regulatory T(eTreg) cell	-0.19251584978802744	6
CD8+ recently activated effector memory or effector T cell (CTL)	-0.19554472161769682	6
Hematopoietic cell	-0.1975083484243727	6
Cytotoxic CD4+ T2 cell	-0.20204249360489704	6
Memory CD8+ T cell	-0.2074986961524262	6
Cytotoxic T cell 2	-0.2083917668401389	6
Tissue resident memory T(TRM) cell	-0.21154135332332	6
CD4+ cytotoxic T2 cell	-0.21172729315223657	6
Granulocyte-monocyte progenitor	-0.21610975449759642	6
Lymphoid cell	-0.21906810216647368	6
Megakaryocyte erythroid cell	-0.21906810216647368	6
CD34+ pre-T cell	-0.21958583804715662	6
Cytotoxic lymphocyte	-0.22030804537014773	6
Endothelial cell	-0.2214800651606286	6
Naive CD8+ T cell	-0.22305396645781556	6
Fibroblast	-0.22574253727637045	6
Innate Lymphoid cell	-0.2320240596742202	6
Cytotoxic CD8 T cell	-0.2323814181380675	6
Fibrocartilage chondrocyte	-0.23370959783501694	6
Megakaryocyte	-0.23420139648108945	6
Mitotic arrest phase fetal germ cell	-0.23544632561159218	6
Effector memory CD8+ T cell	-0.23561833160977577	6
Oligodendrocyte progenitor cell	-0.2361126952772287	6
CD1C-CD141- dendritic cell	-0.23876419106118238	6
CD141+CLEC9A+ dendritic cell	-0.23965205540946422	6
CD3/CD28-stimulated NK cell	-0.24023996303298756	6
T cell & Natural killer cell	-0.24081247628952432	6
Activated T cell	-0.24106956336870433	6
T helper 1(Th1) cell	-0.2412668026738886	6
Activated memory T cell	-0.2417354655658551	6
Responding conventional T cell	-0.2417354655658551	6
Exausted T(Tex) cell	-0.2417354655658551	6
Leydig cell	-0.2426553960118026	6
Multilymphoid progenitor cell	-0.24313613224626057	6
Effector natural killer cell	-0.2442501717145722	6
Effector T(Teff) cell	-0.2442501717145722	6
CD56+ natural killer cell	-0.2442501717145722	6
CD4+ cytotoxic T lymphocyte	-0.24497237903756333	6
M1 microglial cell	-0.24502982861345307	6
Acinar cell	-0.24591599626912208	6
Effector T cell	-0.24643427409837335	6
Pericyte	-0.24660186700028194	6
DCLK1+ progenitor cell	-0.24660186700028194	6
Goblet cell	-0.24698277903333266	6
Cytotoxic natural killer cell	-0.24752534736073442	6
Erythroid lineage cell	-0.2484199167330355	6
Erythrocyte	-0.2484199167330355	6
Secretory cell	-0.24854668728334275	6
Gonadal mitotic phase fetal germ cell	-0.24854668728334275	6
Interstitial cell	-0.24854668728334275	6
CD56bright Natural killer cell	-0.24858425188824285	6
Central memory T cell	-0.24902837964829166	6
Interstitial macrophage	-0.2494827060326559	6
Mast cell	-0.2494827060326559	6
SLC16A7+ cell	-0.24955059947215735	6
Intraepithelial lymphocyte cell	-0.2497102914300216	6
Mesenchymal cell	-0.2500672072520773	6
Ciliated cell	-0.2500672072520773	6
AXL+SIGLEC6+ dendritic cell	-0.2503112566836317	6
Oogenesis phase fetal germ cell	-0.2503112566836317	6
CD4+ T cell	-0.2508162434513178	6
T helper1 (Th1) cell	-0.251230160454945	6
γ δ T cell	-0.25212072182995693	6
Immature myeloid cell	-0.25212072182995693	6
Inflammatory monocyte	-0.25212072182995693	6
Granulocyte	-0.25212072182995693	6
M2 macrophage	-0.25212072182995693	6
Monocyte-derived dendritic cell	-0.25212072182995693	6
Monocyte derived dendritic cell	-0.25212072182995693	6
Patrolling monocyte	-0.25212072182995693	6
Cytotoxic NK cell	-0.25212072182995693	6
Suppressive monocyte	-0.25212072182995693	6
CD16+ dendritic cell	-0.25212072182995693	6
CD14++CD16- monocyte	-0.25212072182995693	6
Basophil	-0.25212072182995693	6
Activated tissue resident memory CD8+ T cell	-0.25212072182995693	6
Intermediate monocyte cell	-0.25212072182995693	6
Mono-macrophage	-0.25212072182995693	6
CD16+ dendritic cell (CD16+ DC)	-0.25212072182995693	6
Thymus seeding progenitor (TSP)	-0.2521660196473333	6
Smooth muscle cell	-0.2521660196473333	6
Secretory progenitor cell	-0.2521660196473333	6
Distal stem cell	-0.25323742047942815	6
LGR5+ stem cell	-0.25323742047942815	6
Ensheathing glial cell	-0.2541827238068401	6
Stromal cell	-0.2541827238068401	6
Mid radical glial cell	-0.2541827238068401	6
Non-neuron	-0.2541827238068401	6
Glial cell	-0.2541827238068401	6
Neural crest-like cell	-0.2541827238068401	6
Senescent CD8+ T Cell	-0.25423626045351344	6
Activated effector cell	-0.25555024927261555	6
NK and T cell	-0.25555024927261555	6
Platelet	-0.25555024927261555	6
CD8+ T helper 17 cell	-0.2566883933416358	6
CD8+ mucosal-associated invariant T cell(CD8+ MAIT)	-0.2566883933416358	6
Regulatory innate lymphoid cell	-0.2566883933416358	6
CD4+T helper 17 cell	-0.2566883933416358	6
CD4+ T helper cell	-0.2566883933416358	6
Helper innate lymphoid cell	-0.2566883933416358	6
Memory CD4+ T cell	-0.2566883933416358	6
CD4 peripherally derived regulatory T cell	-0.2566883933416358	6
T helper cell	-0.2566883933416358	6
Type 17 T cell	-0.2566883933416358	6
T helper(Th) cell	-0.2566883933416358	6
Mait-like cell	-0.2566883933416358	6
Innate lymphoid cell Type 2	-0.2566883933416358	6
Activated memory B cell	-0.2570182498836095	6
Sertoli cell	-0.25713452298097733	6
Granulosa cell	-0.25814848392564843	6
Oligodendrocyte	-0.25864965525430766	6
Mitotic fetal germ cell	-0.25864965525430766	6
T helper 2(Th2) cell	-0.25903214681008513	6
Gonadal endothelial cell	-0.2592657402674453	6
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.25940972358870634	6
CD1C+_B dendritic cell	-0.25940972358870634	6
Short-lived effector cell (SLEC)	-0.2601084103438315	6
Naive T(Th0) cell	-0.2601084103438315	6
Highly differentiated effector CD8 + T cell	-0.2601084103438315	6
Meiotic prophase fetal germ cell	-0.26016953669257814	6
Dendritic cell	8.034798275423787	7
Monocyte	4.094374878080427	7
B cell	3.295401943564695	7
Macrophage	3.0553305727654223	7
Conventional dendritic cell 2(cDC2)	2.8095391762396162	7
Microglial cell	2.387971098397924	7
Myeloid dendritic cell	1.5796450845307999	7
Plasma cell	1.264287841854316	7
Myeloid cell	1.0894683141223152	7
Mast cell	0.8042845338429562	7
Plasmacytoid dendritic cell(pDC)	0.48360023597365875	7
Antigen-presenting cell	0.4609205724225079	7
Natural killer T (NKT) cell	0.2778342730251886	7
Plasmablast	0.26975355808836016	7
CD14+ monocyte	0.24837364090895733	7
Astrocyte	0.23438752632213822	7
Exhausted T(Tex) cell	0.2045370038008643	7
M2 macrophage	0.20152340334196922	7
T cell	0.11225656015265104	7
CD16+ monocyte	0.06652110897546346	7
Oligodendrocyte	0.017771159696045966	7
Mononuclear phagocyte	0.00832402591667903	7
Paneth cell	-0.01024915269393876	7
Exhausted CD8+ T cell	-0.027211705606987158	7
Plasmacytoid dendritic cell	-0.053317355211495554	7
Exhausted CD4+ T cell	-0.10677079202332279	7
M1 macrophage	-0.11452049984896338	7
Regulatory T(Treg) cell	-0.12090456924080613	7
Secretory cell	-0.16435041994179095	7
Classical monocyte	-0.18127473029580635	7
CLEC10A+ dendritic cell	-0.1926683277092479	7
Mitotic fetal germ cell	-0.2153636185887811	7
CD1C+_B dendritic cell	-0.21999178163368904	7
Mitotic arrest phase fetal germ cell	-0.2220672239569128	7
Conventional dendritic cell(cDC)	-0.22957579951030438	7
Sertoli cell	-0.23742997802927387	7
Immature B cell	-0.24371375214852872	7
Pre-dendritic cell	-0.24685087429121466	7
Natural regulatory T cell	-0.2521333859218077	7
Dendritic cell 2A	-0.2526170189616201	7
CD1C+_A dendritic cell	-0.2526170189616201	7
Monocyte-derived dendritic cell	-0.2526170189616201	7
Multilymphoid progenitor cell	-0.25276646085941223	7
Granulosa cell	-0.2593759284371914	7
Immune cell	-0.2596757897607712	7
Liver bud hepatic cell	-0.2597925497338337	7
Oogenesis phase fetal germ cell	-0.260608434466073	7
Endothelial cell	-0.2612483492621187	7
Retinal pigment epithelial cell	-0.2631144211207477	7
Monocyte derived dendritic cell	-0.26622402705631115	7
CD141+CLEC9A+ dendritic cell	-0.267232869288537	7
CLEC9A+ dendritic cell	-0.2756971167868963	7
Retinoid acid signaling-responsive fetal germ cell	-0.2798936267367417	7
DCLK1+ progenitor cell	-0.2849962292345093	7
Fibrocartilage chondrocyte	-0.2849962292345093	7
Panneuron	-0.2849962292345093	7
Migration phase fetal germ cell	-0.2852543590508937	7
AXL+SIGLEC6+ dendritic cell	-0.2856060144612154	7
Leydig cell	-0.28569502342180964	7
Blood cell	-0.2859338282616689	7
Meiotic prophase fetal germ cell	-0.2874456824232421	7
Type 3 dendritic cell (DC3)	-0.28810583517007277	7
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.28810583517007277	7
1-cell stage cell (Blastomere)	-0.2892131509336584	7
Follicular cell	-0.2905592708277216	7
Germinal center cell	-0.2905592708277216	7
Mature B cell	-0.2905592708277216	7
Acinar cell	-0.29359243946534336	7
Neuron	-0.29616821651134356	7
Gonadal mitotic phase fetal germ cell	-0.2962555967315332	7
CD8+ T cell	-0.2975356263692666	7
Zygote	-0.3001569918308158	7
Classical dendritic cell b(cDCb)	-0.3001569918308158	7
Myeloid conventional dendritic cell	-0.3001569918308158	7
Pit progenitor cell	-0.30141016782394325	7
Natural killer cell	-0.30167996413191894	7
Megakaryocyte	-0.3022649139049821	7
Progenitor cell	-0.30663458818636075	7
Neural progenitor cell	-0.30722668781767204	7
Dividing plasma B cell	-0.3091581093381262	7
Trophectoderm cell	-0.3108338718186895	7
Mesenchymal cell	-0.31093743445443195	7
Activated effector cell	-0.31103037055216887	7
Gonadal endothelial cell	-0.31118486253834965	7
Goblet cell	-0.31132008487977864	7
Fibroblast	-0.31132008487977864	7
Leydig precursor cell	-0.3116471261635507	7
Oligodendrocyte progenitor cell	-0.31376399992550685	7
Immature neutrophil	-0.31376399992550685	7
Activated B cell	-0.31517470831482125	7
Follicular B cell	-0.31517470831482125	7
Mesenchymal stem cell	-0.31517470831482125	7
Immune oligodendroglial cell(imOLG)	-0.31517470831482125	7
Naive B cell	-0.31517470831482125	7
Eosinophil	-0.3180500246251052	7
FOXN4+ cell	-0.3180500246251052	7
Granulocytic-UNK	-0.3180500246251052	7
Meyloid cell	-0.3180500246251052	7
Non-classical monocyte	-0.3180500246251052	7
Neutrophil	-0.3180500246251052	7
CD14 monocyte	-0.3180500246251052	7
AXL+ SIGLEC6+ dendritic cell	-0.3180500246251052	7
CD16 monocyte	-0.3180500246251052	7
Pan monocyte	-0.3180500246251052	7
Cycling transient-amplifying cell	-0.31929475117269307	7
Proliferative cell	-0.31929475117269307	7
Proliferating progenitor cell	-0.31929475117269307	7
Myoblast	-0.31929475117269307	7
Transit-amplifying cell	-0.31929475117269307	7
Granulocyte-monocyte progenitor	-0.3194500043254479	7
Effector CD8+ memory T (Tem) cell	-0.3194500043254479	7
Memory T cell	-0.3194500043254479	7
Basal cell	-0.3194500043254479	7
Neuroendocrine cell	-0.3206163541255007	7
Pro-inflammatory macrophage	-0.3206163541255007	7
Cardiosphere-derived cell	-0.3206163541255007	7
Brush cell (Tuft cell)	-0.3206163541255007	7
T helper17 (Th17) cell	-0.3206163541255007	7
Secretory progenitor cell	-0.32123516410631275	7
T helper1 (Th1) cell	-0.3221510638563662	7
Leukocyte	-0.3221510638563662	7
Effector T cell	-0.3221510638563662	7
Memory CD4+ T cell	-0.32224653457495056	7
Effector CD4+ T cell	-0.32224653457495056	7
Ionocyte cell	-0.3233835195191464	7
FGFR1LowNME5- epithelial cell	-0.3238065997362519	7
Hematopoietic cell	-0.32414672201874367	7
CD4+ T cell	-0.32423037160052404	7
Monocyte progenitor cell	-0.32423037160052404	7
Conventional dendritic cell 1(cDC1)	-0.32423037160052404	7
Germinal center B cell	-0.32423037160052404	7
CAR-T cell	-0.32463575629089075	7
Megakaryocyte	9.117276932320205	8
Platelet	4.525323973039944	8
Endothelial cell	3.446328976909335	8
Megakaryocyte progenitor cell	0.7844761678814915	8
Astrocyte	0.6491744869407575	8
Macrophage	0.6463360185923859	8
Mast cell	0.6172099067774522	8
Hematopoietic stem cell	0.44185484729832747	8
Microglial cell	0.3589838505478845	8
Embryonic stem cell	0.25658502501610236	8
Eosinophil	0.25316527410655004	8
Stem cell	0.24028159471270416	8
Myeloid cell	0.20808333714435842	8
Excitatory neuron	0.20304706627732635	8
Fibrocartilage chondrocyte	0.11101199651284849	8
Osteocyte	0.09707886582078042	8
Mesenchymal stromal cell	0.08885033366036736	8
Adipose-derived stem cell	0.06377793740877113	8
Pericyte	0.061748938998994606	8
Smooth muscle cell	0.061748938998994606	8
Natural killer cell	0.0393410784509	8
Activated CD8+ T cell	0.0393410784509	8
Monocyte	-0.014185326934494027	8
T cell	-0.017127105174277905	8
Natural killer T (NKT) cell	-0.07802572226725782	8
Mitotic fetal germ cell	-0.10699778128542174	8
Progenitor cell	-0.12859009460947715	8
Mitotic arrest phase fetal germ cell	-0.15300789362115164	8
B cell	-0.15793450928217648	8
Patelet	-0.174047779295988	8
MKI67+ progenitor cell	-0.17844848817497155	8
Multilymphoid progenitor cell	-0.1787804378399754	8
Fibroblast	-0.19791652797852605	8
Circulating fetal cell	-0.19901976743059954	8
Gonadal endothelial cell	-0.19939963535332095	8
Paneth cell	-0.2000159769504719	8
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.20316062018604217	8
Sertoli cell	-0.20477049400018274	8
Leydig cell	-0.20494964307865618	8
Migration phase fetal germ cell	-0.2057776546055892	8
Oogenesis phase fetal germ cell	-0.20820581217662065	8
Idiopathic pulmonary fibrosis myofibroblast	-0.20821981503537487	8
CD16+ monocyte	-0.20837889405833845	8
Classical monocyte	-0.20837889405833845	8
Mesenchymal stem cell	-0.20837889405833845	8
Stromal cell	-0.20851680110453055	8
Hematopoietic cell	-0.20913313790077973	8
Oligodendrocyte progenitor cell	-0.2095125744281857	8
Epithelial cell	-0.21234353817332988	8
Gonadal mitotic phase fetal germ cell	-0.21284804893651746	8
Leydig precursor cell	-0.2158551006137257	8
Ionocyte cell	-0.21714786000653652	8
Tissue resident memory T(TRM) cell	-0.22349411032015778	8
CD1C-CD141- dendritic cell	-0.22466334296785498	8
vasa recta Endothelial cell (ECvr)	-0.2263147704156627	8
Glial cell	-0.2263147704156627	8
Neuron	-0.22719373322715522	8
Oligodendrocyte	-0.2273083595576304	8
Lymphoid cell	-0.228357384940861	8
Neutrophil	-0.228357384940861	8
Dendritic cell	-0.23001923080272152	8
Plasmacytoid dendritic cell	-0.23001923080272152	8
MK/eryth cell	-0.23005421108741864	8
Red blood cell (erythrocyte)	-0.23005421108741864	8
DCLK1+ progenitor cell	-0.2311878914572659	8
Capillary cell	-0.2311878914572659	8
Mature osteoblast	-0.2311878914572659	8
Alpha cell (α cell)	-0.2319421977114301	8
Müller glial cell	-0.2319421977114301	8
Sinusoidal endothelial cell	-0.23259750251282588	8
Haematopoietic cell	-0.2334512903099347	8
Mesenchymal progenitor cell	-0.2334512903099347	8
Lipid-associated macrophage(LAM)	-0.2334512903099347	8
Megakaryocyte erythroid cell	-0.2334512903099347	8
Beta-like cell	-0.2334512903099347	8
Germinal center B cell	-0.2334512903099347	8
Marginal zone B cell	-0.2334512903099347	8
Basophil	-0.2334512903099347	8
Spermatogonial cell	-0.2334512903099347	8
Extravillous trophoblast	-0.2334512903099347	8
Plasma cell	-0.2334512903099347	8
Disease-associated microglial cell	-0.2334512903099347	8
Dental pulp stem cell	-0.2334512903099347	8
Schwann cell	-0.2334512903099347	8
Delta cell	-0.2334512903099347	8
Periosteum-derived progenitor cell	-0.2334512903099347	8
Spermatogenic cell	-0.2334512903099347	8
Pluripotent stem cell	-0.2334512903099347	8
Myoid cell	-0.2335891973561268	8
Myofibroblast	-0.2335891973561268	8
Mesangial cell	-0.2335891973561268	8
m-Pericyte	-0.2335891973561268	8
Meiotic prophase fetal germ cell	-0.23433515941441388	8
Panvascular cell	-0.23452336596559767	8
FGFR1HighNME5- epithelial cell	-0.23500855767147968	8
Homeostatic chondrocyte	-0.23632718912388717	8
Resident memory T cell	-0.2363777897140037	8
Granulocyte-monocyte progenitor	-0.2363777897140037	8
CD1C+_B dendritic cell	-0.2363777897140037	8
CD1C+_A dendritic cell	-0.23661274356010387	8
FGFR1LowNME5- epithelial cell	-0.23929113693338783	8
Retinoid acid signaling-responsive fetal germ cell	-0.23938055258563762	8
Gamma delta(γδ) T cell	-0.242242927945169	8
M1 macrophage	-0.242242927945169	8
Cytotoxic CD4+ T cell	-0.242242927945169	8
Cytotoxic CD8 T cell	-0.242242927945169	8
Effector memory CD8+ T cell	-0.242242927945169	8
Effector CD8 T cell	-0.242242927945169	8
Finally highly effector (TEMRA) memory T cell	-0.242242927945169	8
Activated effector cell	-0.242242927945169	8
NK and T cell	-0.242242927945169	8
CD8+ T cell	-0.242242927945169	8
Immune cell	-0.242242927945169	8
CD4+ cytotoxic T2 cell	-0.242242927945169	8
SLC16A7+ cell	-0.242242927945169	8
Neuroendocrine cell	-0.2427092543932691	8
Brush cell (Tuft cell)	-0.2427092543932691	8
Granulosa cell	-0.24308945334959778	8
Goblet cell	-0.24339265384316314	8
Naive CD4+ T cell	-0.2438604573687054	8
Epiblast cell	-0.2474331142560125	8
Ciliated cell	-0.24789435174824465	8
Exhausted CD4+ T cell	-0.24878603969277951	8
CD4+ T cell	-0.24963075264248588	8
