Cell Type	Z-score	Cluster
Meyloid cell	-0.20345265065836354	2
Granulocytic-UNK	-0.20464720069361278	2
SLC16A7+ cell	-0.2050101467064838	2
CD141+CLEC9A+ dendritic cell	-0.20542391926958792	2
Natural regulatory T cell	-0.20605515002021216	2
Gonadal mitotic phase fetal germ cell	-0.20783572879352644	2
Immature neutrophil	-0.20850653495898125	2
Plasmacytoid dendritic cell	-0.21045096694449988	2
Secretory progenitor cell	-0.21111949704390354	2
Intermediate monocyte	-0.21111949704390354	2
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.21111949704390354	2
Regulatory T(Treg) cell	-0.21130661121559663	2
Pelvic epithelial cell	-0.21159918370291522	2
Epithelial cell	-0.21159918370291522	2
Leydig precursor cell	-0.2120022430991637	2
Leydig cell	-0.21246154110340085	2
Naive CD8+ T cell	-0.21337294369546841	2
Pan monocyte	-0.21574759366004756	2
AXL+ SIGLEC6+ dendritic cell	-0.21574759366004756	2
Progenitor cell	-0.21574759366004756	2
Myeloid dendritic cell	-0.21574759366004756	2
Blood cell	-0.21574759366004756	2
FOXN4+ cell	-0.21574759366004756	2
CD14+CD16+ monocyte	-0.21634383673745902	2
Secretory cell	-0.21685526707225883	2
Fibrocartilage chondrocyte	-0.21710389329745017	2
CD1C+_A dendritic cell	-0.2174012153878202	2
Oligodendrocyte progenitor cell	-0.21817138063578556	2
Retinal pigment epithelial cell	-0.21817138063578556	2
M1 microglial cell	-0.2181995124472543	2
Ciliated cell	-0.2192015795142017	2
Inflammatory dendritic cell	-0.2198385457511553	2
Hofbauer cell	-0.2198385457511553	2
CD14+ macrophage	-0.2198385457511553	2
Monocyte-derived macrophage	-0.2198385457511553	2
Hepatic cell	-0.22043536240662906	2
Effector CD8+ memory T (Tem) cell	-0.22118108922674892	2
White blood cell	-0.22129037953824365	2
Resting microglial cell	-0.22129037953824365	2
Immature B cell	-0.22131809463009403	2
AXL+SIGLEC6+ dendritic cell	-0.2222652456441127	2
Cancer stem cell	-0.2223312218359521	2
MKI67+ progenitor cell	-0.2223312218359521	2
Venular endothelial cell	-0.2223312218359521	2
Multipotent progenitor cell	-0.22241423055931187	2
Oligodendrocyte	-0.22252690730629288	2
Activated memory B cell	-0.22275252007284227	2
Pro-inflammatory macrophage	-0.22321107174872332	2
M2 macrophage	-0.22321107174872332	2
Brush cell (Tuft cell)	-0.22321107174872332	2
Neuroendocrine cell	-0.22321107174872332	2
Cardiosphere-derived cell	-0.22321107174872332	2
T helper17 (Th17) cell	-0.22321107174872332	2
1-cell stage cell (Blastomere)	-0.22367497132637346	2
Macroglial cell	-0.22367497132637346	2
Osteoblast	-0.2244976276486973	2
Innate lymphoid cell	-0.2247284305756913	2
Effector memory T cell	-0.2247284305756913	2
Meiotic prophase fetal germ cell	-0.22481367063248786	2
Epiblast cell	-0.22484243311496097	2
CD4+ cytotoxic T1 cell	-0.22552336268306575	2
Oligodendrocyte‐like cell	-0.2256443491017588	2
Memory T-cell	-0.22566788669715243	2
Effector CD8+ T cell	-0.22566788669715243	2
Effector memory CD4+ T cell	-0.22566788669715243	2
Central memory T cell	-0.22566788669715243	2
Prehypertrophic chondrocyte	-0.22566788669715243	2
Basophil	-0.2258078076663585	2
Ciliated epithelial cell	-0.2258078076663585	2
Effector CD4+ T cell	-0.22589444944317078	2
Kupffer cell	-0.22616228832624757	2
Platelet	-0.22616228832624757	2
Follicular cell	-0.22656955582547844	2
Germinal center cell	-0.22656955582547844	2
Mature B cell	-0.22656955582547844	2
Activated effector cell	-0.22656955582547844	2
CD8+ T cell	-0.22656955582547844	2
Megakaryocyte erythroid cell	-0.226613208971264	2
Lymphoid cell	-0.226613208971264	2
Mucosa-associated invariant T (MAIT) cell	-0.226613208971264	2
T cell	-0.226613208971264	2
Glial cell	-0.22703430856003096	2
Capillary cell	-0.22740534999893455	2
Homeostatic chondrocyte	-0.22740534999893455	2
Neural stem cell	-0.2277803052473048	2
Exhausted CD4+ T cell	-0.2281111167625987	2
Goblet cell	-0.22870687984728588	2
Early CD34+ megakaryocyte-erythroid progenitor cell	-0.2287814229233702	2
CD34+ megakaryocyte-erythroid progenitor cell	-0.2287814229233702	2
B cell	10.865860992120131	3
Plasma cell	2.3495980153213676	3
Naive B cell	2.347940231091202	3
Dendritic cell	1.6520660621512986	3
Macrophage	1.1564493029796463	3
Microglial cell	0.8980255572853418	3
Monocyte	0.8890861682997716	3
Follicular B cell	0.757128882152899	3
Plasmablast	0.6763666553181864	3
Memory B cell	0.5989231062526589	3
Plasmacytoid dendritic cell(pDC)	0.597358969558721	3
Transitional B cell	0.4456290429714069	3
Mesenchymal stem cell	0.4043773903787706	3
Mesenchymal stromal cell	0.2462496611754956	3
Regulatory B(Breg) cell	0.2462496611754956	3
Antigen-presenting cell	0.2199070704618816	3
Conventional dendritic cell 2(cDC2)	0.15344255878960444	3
Unswitched memory B cell(UnSw MB)	0.14425079579121192	3
Atypical memory B cell	0.14425079579121192	3
Non-switched memory B cell	0.14425079579121192	3
Immature B cell	0.10765955957800005	3
Activated B cell	0.04088366789034563	3
Myeloid cell	0.03635976655568675	3
Pre-B cell	0.02474699682867807	3
CD4+ T cell	0.007838248572686696	3
Basophil	0.001345775802879972	3
Class-switched memory B cell	0.001345775802879972	3
Antibody-secreting cell	0.001345775802879972	3
